Lambda,D_rot,score
1000.0,0.0,0.9657
1000.0,0.0,0.9679
1000.0,0.0,0.9645
1000.0,0.0,0.9682
1000.0,0.0,0.9695
1000.0,0.0,0.971
1000.0,0.0,0.9678
1000.0,0.0,0.9665
1000.0,0.0,0.9666
1000.0,0.0,0.9678
1000.0,0.0,0.9686
1000.0,0.0,0.9705
1000.0,0.0,0.9675
1000.0,0.0,0.9691
1000.0,0.0,0.9654
1000.0,0.0,0.9646
1000.0,0.0,0.9688
1000.0,0.0,0.9676
1000.0,0.0,0.9663
1000.0,0.0,0.9655
1000.0,0.0,0.9708
1000.0,0.0,0.9675
1000.0,0.0,0.9716
1000.0,0.0,0.9669
1000.0,0.0,0.9656
1000.0,0.0,0.968
1000.0,0.0,0.9692
1000.0,0.0,0.9703
1000.0,0.0,0.9641
1000.0,0.0,0.9705
1000.0,0.0,0.9645
1000.0,0.0,0.9676
1000.0,0.0,0.9697
1000.0,0.0,0.9684
1000.0,0.0,0.9677
1000.0,0.0,0.9652
1000.0,0.0,0.9717
1000.0,0.0,0.9675
1000.0,0.0,0.9652
1000.0,0.0,0.967
1000.0,0.0,0.9672
1000.0,0.0,0.9717
1000.0,0.0,0.9678
1000.0,0.0,0.9651
1000.0,0.0,0.9674
1000.0,0.0,0.9665
1000.0,0.0,0.969
1000.0,0.0,0.971
1000.0,0.0,0.9689
1000.0,0.0,0.9657
1000.0,0.0,0.9678
1000.0,0.0,0.9676
1000.0,0.0,0.9704
1000.0,0.0,0.9647
1000.0,0.0,0.969
1000.0,0.0,0.9684
1000.0,0.0,0.969
1000.0,0.0,0.9691
1000.0,0.0,0.9659
1000.0,0.0,0.9689
1000.0,0.0,0.9664
1000.0,0.0,0.9689
1000.0,0.0,0.9687
1000.0,0.0,0.9641
1000.0,0.0,0.9699
1000.0,0.0,0.9682
1000.0,0.0,0.9673
1000.0,0.0,0.9694
1000.0,0.0,0.9676
1000.0,0.0,0.9689
1000.0,0.0,0.969
1000.0,0.0,0.9678
1000.0,0.0,0.9699
1000.0,0.0,0.9668
1000.0,0.0,0.9654
1000.0,0.0,0.9668
1000.0,0.0,0.9647
1000.0,0.0,0.9667
1000.0,0.0,0.9676
1000.0,0.0,0.967
1000.0,0.0,0.9675
1000.0,0.0,0.9678
1000.0,0.0,0.9675
1000.0,0.0,0.9701
1000.0,0.0,0.9642
1000.0,0.0,0.9638
1000.0,0.0,0.9677
1000.0,0.0,0.9663
1000.0,0.0,0.9687
1000.0,0.0,0.9704
1000.0,0.0,0.9672
1000.0,0.0,0.9694
